Filename;Line Number;Function Name;Call Count;Cumulative Time;Internal Time
~;0;<pandas._libs.lib.fast_unique_multiple_list_gen>;1;0.045908905;0.010280103
generic.py;5973;_consolidate_inplace;21;0.045382061;2,87E+11
generic.py;5959;_protect_consolidate;21;0.045353316000000005;5,65E+11
<__array_function__ internals>;177;concatenate;82;0.044564929;0.000150089
array_ops.py;60;comp_method_OBJECT_ARRAY;5;0.043637020000000006;2,84E-01
~;0;<pandas._libs.ops.scalar_compare>;5;0.043582;0.043582
~;0;<built-in method numpy.asanyarray>;131053;0.042031963000000006;0.042018737
stride_tricks.py;345;<genexpr>;130918;0.041859406;0.041859406
indexing.py;139;iloc;66321;0.041631458;0.041631458
generic.py;5977;f;21;0.041459657000000004;3,83E+11
managers.py;673;consolidate;21;0.041207453000000005;3,69E+11
series.py;961;_slice;863;0.040684558;0.0005996560000000001
series.py;1068;_get_values;865;0.040531527000000005;0.0024820270000000004
common.py;151;classes_and_not_datetimelike;132831;0.039002691;0.039002691
~;0;<method 'search' of 're.Pattern' objects>;212824;0.03842616;0.03842616
indexing.py;2612;is_nested_tuple;65456;0.037905730000000006;0.029254054
~;0;<pandas._libs.lib.is_float>;199074;0.037584228000000004;0.037584228000000004
base.py;1734;name;131027;0.037249061;0.037249061
common.py;333;is_full_slice;65456;0.037051374000000005;0.027225871000000002
stride_tricks.py;25;_maybe_view_as_subclass;65459;0.036551517000000006;0.036551517000000006
construction.py;945;<genexpr>;64706;0.035628802;0.029213387
~;0;<pandas._libs.algos.ensure_platform_int>;131053;0.035345167000000004;0.035345167000000004
contextlib.py;434;__exit__;130912;0.034071588;0.034071588
~;0;<method 'copy' of 'numpy.ndarray' objects>;83;0.033636034;0.033636034
<__array_function__ internals>;177;vstack;8;0.033470972;1,82E+11
datetimes.py;194;_scalar_type;130927;0.033445165;0.033445165
shape_base.py;223;vstack;8;0.033411672;3,64E-01
function.py;56;__call__;66322;0.030492856000000002;0.030485779
~;0;<built-in method builtins.sum>;65484;0.030318262000000002;0.030195561000000003
managers.py;238;items;65503;0.029607265;0.029607265
numeric.py;1143;_roll_dispatcher;130920;0.029356801000000002;0.029356801000000002
~;0;<method 'items' of 'dict' objects>;130952;0.028305543000000002;0.028305543000000002
object_array.py;428;<lambda>;65830;0.027885195;0.018459723
frame.py;3955;__setitem__;33;0.027803778;0.00018662500000000002
blocks.py;544;copy;28;0.027390494;0.000103002
frame.py;4164;_set_item;33;0.027236942;0.000119054
~;0;<built-in method _operator.index>;130960;0.026381763000000003;0.026381763000000003
multiarray.py;84;empty_like;130920;0.026114897;0.026114897
frame.py;6862;sort_values;1;0.025236626;0.00034615400000000005
managers.py;1882;ndim;130963;0.025221234000000002;0.025221234000000002
~;0;<method 'index' of 'range' objects>;131666;0.023104553;0.023104553
concat.py;146;concat;3;0.023102805;2,39E-01
base.py;6569;_maybe_cast_indexer;131860;0.022193371;0.022193371
contextlib.py;431;__enter__;130912;0.021822920000000003;0.021822920000000003
concat.py;565;get_result;3;0.021223305;6,47E-01
base.py;1194;_maybe_disallow_fill;65468;0.020930883;0.020930883
concat.py;176;concatenate_managers;3;0.020879296000000002;0.000384469
~;0;<method '__exit__' of 'numpy.nditer' objects>;65459;0.020701964;0.020701964
~;0;<pandas._libs.tslibs.np_datetime.is_unitless>;65468;0.020286432;0.020286432
fromnumeric.py;3152;ndim;65460;0.019909985;0.019907323
cast.py;527;maybe_promote;93;0.019548929;0.019044961000000003
nanops.py;217;_maybe_get_mask;869;0.01888818;0.001597031
numeric.py;192;_ensure_dtype;65472;0.018728026000000002;0.018728026000000002
frame.py;4892;_sanitize_column;33;0.016269396000000002;0.000358974
frame.py;5251;drop;1;0.016049393000000002;4,00E-03
generic.py;4475;drop;1;0.01603997;1,15E-01
<ipython-input-134-80e15ba39301>;129;<listcomp>;1;0.015845796000000002;0.015845796000000002
numeric.py;181;_validate_dtype;65473;0.015522198000000001;0.015522198000000001
numeric.py;2403;_array_equal_dispatcher;65457;0.015243154000000002;0.015243154000000002
base.py;241;disallow_kwargs;65507;0.015097942000000001;0.015097942000000001
stride_tricks.py;363;_broadcast_to_dispatcher;65459;0.015010467000000001;0.015010467000000001
fromnumeric.py;3148;_ndim_dispatcher;65460;0.014467641000000002;0.014467641000000002
~;0;<built-in method combine>;65830;0.014137103000000002;0.014137103000000002
managers.py;2023;getitem_mgr;865;0.013838904;0.0059378930000000005
generic.py;4512;_drop_axis;1;0.013038826000000002;1,80E-01
~;0;<built-in method pandas._libs.missing.isnaobj>;6;0.012957555;0.012957555
managers.py;774;_slice_take_blocks_ax0;4;0.012902704000000001;0.00018112100000000002
indexing.py;1127;_has_valid_setitem_indexer;65456;0.012738800000000002;0.012738800000000002
blocks.py;815;_unwrap_setitem_indexer;65456;0.011853848;0.011853848
concat.py;527;_concatenate_join_units;6;0.011551777000000001;4,07E+11
generic.py;443;transform;9;0.01078693;3,81E-01
groupby.py;1827;_transform;9;0.010748828;0.000110958
frame.py;4139;_set_item_mgr;33;0.010701446;0.00022704200000000003
blocks.py;809;_maybe_squeeze_arg;65458;0.010382846000000001;0.010382846000000001
cast.py;1178;maybe_infer_to_datetimelike;8;0.009568252000000001;4,56E-01
~;0;<method 'strip' of 'str' objects>;65830;0.009425472;0.009425472
~;0;<pandas._libs.algos.take_2d_axis1_float64_float64>;7;0.009292927000000001;0.009292927000000001
construction.py;952;<listcomp>;1;0.009260455;0.009260455
construction.py;879;_list_to_arrays;1;0.008967178000000001;3,50E-03
~;0;<pandas._libs.lib.to_object_array>;1;0.008963562000000001;0.008963562000000001
concat.py;71;concat_compat;8;0.00873352;7,13E-01
~;0;<pandas._libs.algos.take_2d_axis0_float64_float64>;4;0.008623984000000001;0.008623984000000001
~;0;<pandas._libs.algos.take_2d_axis1_object_object>;8;0.008128522000000001;0.008128522000000001
take.py;554;_take_preprocess_indexer_and_fill_value;70;0.007530288;0.000198905
~;0;<method 'time' of 'datetime.datetime' objects>;65830;0.0072991950000000005;0.0072991950000000005
sorting.py;378;nargsort;1;0.006974743;0.002091679
groupby.py;1759;_cython_agg_general;10;0.006828262000000001;7,63E-01
datetimes.py;1980;_sequence_to_dt64ns;3;0.006759567;4,71E+11
cast.py;1211;try_datetime;1;0.0066522890000000005;1,32E-01
datetimes.py;1965;sequence_to_datetimes;1;0.006636436000000001;6,79E+10
common.py;684;is_integer_dtype;1810;0.00652195;0.00256651
~;0;<method 'keys' of 'dict' objects>;64711;0.006417695;0.006417695
groupby.py;2103;mean;9;0.006278379000000001;4,83E+11
base.py;192;grouped_reduce;10;0.006196294000000001;4,30E+11
base.py;708;_with_infer;46;0.006185261;0.000461552
datetimes.py;2129;objects_to_datetime64ns;1;0.005916849;1,29E+11
~;0;<built-in method pandas._libs.tslib.array_to_datetime>;1;0.005881997000000001;0.005881997000000001
groupby.py;1789;array_func;10;0.005868873;3,11E-01
ops.py;1334;sorted_data;1;0.005847866;4,85E+09
ops.py;1020;_cython_operation;10;0.0058359430000000006;8,53E-01
