rdered by: standard name;;;;;
;;;;;
ncalls;tottime;percall;cumtime;percall;filename:lineno(function)
8;0.000;0.000;0.009;0.001;concat.py:71(concat_compat)
1;0.000;0.000;0.009;0.009;construction.py:879(_list_to_arrays)
62;0.007;0.000;0.007;0.000;{method 'astype' of 'numpy.ndarray' objects}
12;0.006;0.001;0.007;0.001;cast.py:1763(construct_1d_object_array_from_listlike)
1;0.002;0.002;0.007;0.007;sorting.py:378(nargsort)
2;0.000;0.000;0.007;0.003;construction.py:423(dict_to_mgr)
1;0.000;0.000;0.007;0.007;readers.py:1395(__init__)
1;0.000;0.000;0.007;0.007;readers.py:1703(_make_engine)
70;0.000;0.000;0.007;0.000;take.py:554(_take_preprocess_indexer_and_fill_value)
240;0.006;0.000;0.006;0.000;{built-in method numpy.empty}
1;0.006;0.006;0.006;0.006;{built-in method pandas._libs.tslib.array_to_datetime}
64711;0.006;0.000;0.006;0.000;{method 'keys' of 'dict' objects}
65830;0.006;0.000;0.006;0.000;{method 'time' of 'datetime.datetime' objects}
28;0.006;0.000;0.006;0.000;{pandas._libs.lib.infer_dtype}
6;0.004;0.001;0.006;0.001;managers.py:2305(_stack_arrays)
1810;0.002;0.000;0.006;0.000;common.py:684(is_integer_dtype)
3;0.000;0.000;0.006;0.002;astype.py:68(astype_nansafe)
10;0.000;0.000;0.006;0.001;base.py:192(grouped_reduce)
46;0.000;0.000;0.006;0.000;base.py:708(_with_infer)
1;0.000;0.000;0.006;0.006;cast.py:1211(try_datetime)
4;0.000;0.000;0.006;0.002;construction.py:100(arrays_to_mgr)
1;0.000;0.000;0.006;0.006;datetimes.py:1965(sequence_to_datetimes)
3;0.000;0.000;0.006;0.002;datetimes.py:1980(_sequence_to_dt64ns)
1;0.000;0.000;0.006;0.006;datetimes.py:2129(objects_to_datetime64ns)
1;0.000;0.000;0.006;0.006;generic.py:3778(take)
10;0.000;0.000;0.006;0.001;groupby.py:1759(_cython_agg_general)
9;0.000;0.000;0.006;0.001;groupby.py:2103(mean)
20;0.000;0.000;0.006;0.000;managers.py:1394(insert)
4;0.000;0.000;0.006;0.001;managers.py:2182(create_block_manager_from_column_arrays)
4;0.000;0.000;0.006;0.001;managers.py:2253(_form_blocks)
1;0.000;0.000;0.006;0.006;ops.py:1334(sorted_data)
1;0.005;0.005;0.005;0.005;c_parser_wrapper.py:49(__init__)
20;0.005;0.000;0.005;0.000;{built-in method builtins.max}
9;0.005;0.001;0.005;0.001;{built-in method builtins.min}
7;0.000;0.000;0.005;0.001;accessor.py:178(__get__)
4;0.000;0.000;0.005;0.001;accessor.py:178(__init__)
1;0.000;0.000;0.005;0.005;algorithms.py:315(unique)
7;0.000;0.000;0.005;0.001;base.py:3888(get_indexer)
1;0.000;0.000;0.005;0.005;base.py:796(_map_values)
10;0.000;0.000;0.005;0.001;groupby.py:1789(array_func)
10;0.000;0.000;0.005;0.001;ops.py:1020(_cython_operation)
